,2022（令和４）年,国民生活基礎調査,,,
,２健康票,第137表　総傷病数，性・年齢（３区分階級）・傷病（複数回答）・都道府県－21大都市（再掲）別,,,
,注：通院者には、入院者は含まない。,,,,
,傷病（複数回答）,総　　数,65歳以上,65歳以上人口数,65歳以上の傷病数と人口の割合
岩　　　手,骨折以外のけが・やけど,7,3,442,0.7%
岩　　　手,貧血・血液の病気,11,5,442,1.1%
岩　　　手,悪性新生物（がん）,14,9,442,2.0%
岩　　　手,妊娠・産褥（切迫流産、前置胎盤等）,1,-,442,#VALUE!
岩　　　手,不妊症,0,-,442,#VALUE!
岩　　　手,その他,34,9,442,2.0%
岩　　　手,不　明,2,1,442,0.2%
岩　　　手,不　　詳,3,2,442,0.5%
宮　　　城,宮　　　城,,,739,0.0%
宮　　　城,通院者数,1042,543,739,73.5%
宮　　　城,糖尿病,144,101,739,13.7%
宮　　　城,肥満症,13,5,739,0.7%
宮　　　城,脂質異常症（高コレステロール血症等）,187,118,739,16.0%
宮　　　城,甲状腺の病気,36,19,739,2.6%
宮　　　城,うつ病やその他のこころの病気,50,11,739,1.5%
宮　　　城,認知症,15,14,739,1.9%
宮　　　城,パーキンソン病,4,4,739,0.5%
宮　　　城,その他の神経の病気（神経痛・麻痺等）,17,10,739,1.4%
宮　　　城,眼の病気,163,124,739,16.8%
宮　　　城,耳の病気,23,16,739,2.2%
宮　　　城,高血圧症,378,267,739,36.1%
宮　　　城,脳卒中（脳出血、脳梗塞等）,24,18,739,2.4%
宮　　　城,狭心症・心筋梗塞,46,38,739,5.1%
宮　　　城,その他の循環器系の病気,48,36,739,4.9%
宮　　　城,急性鼻咽頭炎（かぜ）,3,1,739,0.1%
宮　　　城,アレルギー性鼻炎,57,19,739,2.6%
宮　　　城,慢性閉塞性肺疾患（COPD）,3,2,739,0.3%
宮　　　城,喘息,32,13,739,1.8%
宮　　　城,その他の呼吸器系の病気,24,15,739,2.0%
宮　　　城,胃・十二指腸の病気,42,30,739,4.1%
宮　　　城,肝臓・胆のうの病気,22,14,739,1.9%
宮　　　城,その他の消化器系の病気,36,20,739,2.7%
宮　　　城,歯の病気,139,73,739,9.9%
宮　　　城,アトピー性皮膚炎,29,2,739,0.3%
宮　　　城,その他の皮膚の病気,48,17,739,2.3%
宮　　　城,痛風,27,15,739,2.0%
宮　　　城,関節リウマチ,16,10,739,1.4%
宮　　　城,関節症,46,33,739,4.5%
宮　　　城,肩こり症,49,21,739,2.8%
宮　　　城,腰痛症,117,74,739,10.0%
宮　　　城,骨粗しょう症,55,51,739,6.9%
宮　　　城,腎臓の病気,22,14,739,1.9%
宮　　　城,前立腺肥大症,34,31,739,4.2%
宮　　　城,閉経期又は閉経後障害（更年期障害等）,8,1,739,0.1%
宮　　　城,骨折,15,10,739,1.4%
宮　　　城,骨折以外のけが・やけど,14,7,739,0.9%
宮　　　城,貧血・血液の病気,17,9,739,1.2%
宮　　　城,悪性新生物（がん）,27,19,739,2.6%
宮　　　城,妊娠・産褥（切迫流産、前置胎盤等）,2,-,739,#VALUE!
宮　　　城,不妊症,2,-,739,#VALUE!
宮　　　城,その他,70,18,739,2.4%
宮　　　城,不　明,4,2,739,0.3%
宮　　　城,不　　詳,4,2,739,0.3%
秋　　　田,秋　　　田,,,375,0.0%
秋　　　田,通院者数,461,269,375,71.7%
秋　　　田,糖尿病,66,44,375,11.7%
秋　　　田,肥満症,5,3,375,0.8%
秋　　　田,脂質異常症（高コレステロール血症等）,86,55,375,14.7%
秋　　　田,甲状腺の病気,13,7,375,1.9%
秋　　　田,うつ病やその他のこころの病気,18,5,375,1.3%
秋　　　田,認知症,12,11,375,2.9%
秋　　　田,パーキンソン病,2,2,375,0.5%
秋　　　田,その他の神経の病気（神経痛・麻痺等）,8,5,375,1.3%
秋　　　田,眼の病気,64,51,375,13.6%
秋　　　田,耳の病気,12,10,375,2.7%
秋　　　田,高血圧症,184,134,375,35.7%
秋　　　田,脳卒中（脳出血、脳梗塞等）,13,11,375,2.9%
秋　　　田,狭心症・心筋梗塞,21,17,375,4.5%
秋　　　田,その他の循環器系の病気,28,22,375,5.9%
秋　　　田,急性鼻咽頭炎（かぜ）,2,1,375,0.3%
秋　　　田,アレルギー性鼻炎,23,8,375,2.1%
秋　　　田,慢性閉塞性肺疾患（COPD）,2,1,375,0.3%
秋　　　田,喘息,12,5,375,1.3%
秋　　　田,その他の呼吸器系の病気,11,9,375,2.4%
秋　　　田,胃・十二指腸の病気,21,16,375,4.3%
秋　　　田,肝臓・胆のうの病気,10,7,375,1.9%
秋　　　田,その他の消化器系の病気,18,12,375,3.2%
秋　　　田,歯の病気,46,23,375,6.1%
秋　　　田,アトピー性皮膚炎,8,0,375,0.0%
秋　　　田,その他の皮膚の病気,21,10,375,2.7%
秋　　　田,痛風,16,7,375,1.9%
秋　　　田,関節リウマチ,8,6,375,1.6%
秋　　　田,関節症,22,17,375,4.5%
秋　　　田,肩こり症,18,11,375,2.9%
秋　　　田,腰痛症,53,40,375,10.7%
